Backup de Produtos ERP
Gerado em: 2026-03-12T12:43:47.316695
Total de produtos: 8611

codigo_interno | nome | preco
277 | RACAO DOG CHOW CAES RMG CARNE/VEGET 20KG | 210.00
279 | RACAO MUST CAES FL RG 22KG | 220.00
280 | CROC FILHOTES 25KG | 230.00
281 | RACAO MUST CAES AD RG 22KG | 215.00
282 | CROC ADULTO RACAS PEQUENAS 25KG | 190.00
283 | CROC FILHOTES 15KG | 125.00
284 | CROC ADULTO RACAS PEQUENAS 15KG | 120.00
285 | RACAO MUST CAES ADULTO RPM 15KG | 150.00
286 | PETISDOG CARNE BEPET 65G | 20.00
287 | PETISDOG MENTA BEPET 65G | 4.00
288 | PROBIOTICO BEPET 13ML | 25.00
289 | QUERATINI BEPET 30G | 28.99
290 | TONICO BEPET 50ML | 15.00
291 | VITA C BEPET 30ML | 15.00
292 | SUPERATRO BEPET 1000MG | 58.00
293 | HEMOFER BEPET 30ML | 17.00
294 | HEMOFER BEPET 120ML | 26.00
295 | VITAMINI BEPET 60G | 17.58
296 | SUPERCAL BEPET 30ML | 15.00
297 | SUPERCAL BEPET 120ML | 32.00
298 | SUPERARTRO BEPET 500G | 48.00
299 | VITA B BEPET 40ML | 27.00
300 | DEFENSYN 60G | 68.00
301 | PAPA DOG ADULTO 25KG | 155.00
302 | CHEIRINHO CRAVO E CANELA M | 35.70
303 | CONDRIX DOG PLUS 1200MG 60X72G | 160.00
304 | CONDRIX DOG PLUS 600MG 60X36G | 98.00
305 | PROMUN CAT ORGANNACT PASTA 27ML | 55.00
306 | ERITROS DOG ORGANNACT 18G 30 TABS | 82.00
307 | ORGA MILK 100G | 75.00
308 | ORGA MILK 300G | 155.00
309 | DOG CHOW SACHE AD RP FGO 100G | 2.50
310 | CAT CHOW SACHE FGO 85G | 2.99
311 | CAT CHOW SACHE CAST PEIXE 85G | 2.99
312 | CAT CHOW GATO CAST FRANGO 10,1KG | 160.00
313 | DOG CHOW SACHE AD MOLHO FG/PERU 100G | 2.50
314 | DOG CHOW SACHE AD RPMG CAR 100G | 2.50
315 | DOG CHOW SACHE FL CARNE AO MOLHO 100G | 2.50
316 | DOG CHOW SACHE FL RP CAR 100G | 2.50
317 | DOG CHOW SACHE AD RPMG FGO 100G | 2.50
318 | DOG CHOW SACHE FL RPMG FGO 100G | 2.50
319 | DOG CHOW SACHE AD RP SAL 100G | 2.50
320 | DOG CHOW PURINA SAUDE ORAL AD RMG 80G | 12.00
321 | DOG CHOW ORAL RAC PEQ 105G | 15.00
322 | DOG CHOW PURINA SAUDE ORAL AD RP 45G | 9.50
323 | DOG CHOW SACHE PERU MOLHO 100G | 2.50
324 | DOG CHOW SACHE AD RPMG CORD 100G | 2.50
325 | FRISKIES SACHE ATUM AO MOLHO 85G | 2.50
326 | FRISKIES SACHE CARNE AO MOLHO 85G | 2.50
327 | FRISKIES SACHE CORDEIRO AO MOLHO 85G | 2.50
328 | FRISKIE FILHOTES CARNE AO MOLHO 85G | 2.00
329 | FRISKIES SACHE FILH FRANGO AO MOLHO 85G | 2.40
330 | FRISKIES SACHE FILH PEIXE AO MOLHO 85G | 2.25
331 | FRISKIES GATO AD FRANGO 10,1KG | 145.00
332 | FRISKIES FRANGO E FIGADO AO MOLHO 85G | 2.00
333 | FRISKIES SACHE FRANGO AO MOLHO 85G | 2.50
334 | FRISKIES SACHE MIX DE CARNE AO MOLHO 85G | 2.25
335 | FRISKIES SACHE PEIXE BRANCO AO MOLHO 85G | 2.50
336 | FRISKIES PETISCO CARNE 40G | 5.99
337 | FRISKIES SACHE SALMAO AO MOLHO 85G | 2.50
338 | RACAO HOT CAT MIX SEM CORANTES 25KG | 230.00
339 | RACAO HOT DOG FILHOTES 10.1KG | 110.00
340 | RACAO HOT DOG FILHOTES 25KG | 230.00
341 | RACAO HOT DOG SEM CORANTES 25KG | 215.00
342 | QUATREE GO/GATO AD CARNE 10,1KG | 135.00
343 | RACAO QUATREE GOURMET GATO AD CARNE 20KG | 255.00
344 | QUATREE GO/GATO AD PEIXE 10,1KG | 140.00
345 | QUATREE GO/GATO CAS/DEL/MAR 10,1KG | 145.00
346 | RACAO QUATREE GOURM GATO CAST DEL/M 20KG | 255.00
347 | QUATREE GO/GATO FL 10,1KG | 145.00
348 | QUATREE SNACKS BIFINHOS CARNE 60G | 4.50
349 | QUATREE SNACKS BIFINHOS CHURRASCO 500G | 29.99
350 | QUATREE SNACKS BIFINHOS CHURRASCO 60G | 4.50
351 | QUATREE SNACKS BIFINHOS FRANGO 60G | 4.50
352 | QUATREE SUP/CAES AD RP FRA 3KG | 89.99
353 | SHAMPOO HEXADENE SPHERULITES 500ML | 226.00
354 | SEBOLYTIC SPHERULITES 250 ML | 180.00
355 | COMBO NATALENE 25ML/EPIOTIC SPHERULIT | 158.00
356 | EFFIPRO SPRAY 250 ML | 170.00
357 | RILEXINE 300 PALATAVEL 14COMP | 40.00
358 | RILEXINE 75 PALATAVEL COM 140 COMP. | 21.00
359 | RILEXINE 600 PALATAVEL COM 140 COMP. | 77.00
360 | GATISSIMO 4 KG | 12.00
361 | KETS TALCO 4KG | 8.49
363 | BIODEX 20COMP | 15.00
364 | CORT-TRAT SM 20 COMP | 19.99
365 | DUGS COLEIRA ANTIPULGA E CARRAP. P/ CAES | 26.00
366 | MULTI-DOG 20X 01 D BR | 15.00
367 | RATOL 750 PO DE CONTATO | 75.00
368 | RATOL GRAN GS DOMESTICO 50G | 3.00
369 | GRANULADO RATOL KELLMAT 25G | 2.00
370 | TERRAMICINA LA SOL INJ FR 20ML | 20.00
371 | TERRACAM AGENER UNIAO SPRAY 125ML | 40.00
372 | UNGUENTO CHEMITEC 50G | 22.00
373 | UNGUANTO SM SPRAY 400ML | 41.50
374 | INSETICIDA BARATOL GEL 10G | 12.00
376 | CALCIORAL B12 100ML | 18.00
377 | CALCIO TRAT SM ORAL 100ML | 25.00
378 | CHEMITRIL INJ 2,5% 20ML PET | 19.99
379 | CUPINICIDA ZODRIN 500ML | 28.00
380 | CUPINICIDA ZODRIN 400 CE 100ML | 8.49
381 | IVERMIC ADE 50ML | 27.00
382 | IVERMIN 50ML | 15.00
383 | IVERMIN 200ML | 26.18
384 | PENCIVET PLUS PPU 30ML | 40.00
385 | PULVERIZADOR BRUDDEN 500ML | 12.16
386 | TRIBRISSEN 15ML | 25.00
387 | TRISSULFIN PO SACHE 50G | 10.99
388 | TRISSULFIN PO SACHE 100G | 18.30
389 | TYLADEN 50ML | 45.00
390 | VITA C 20ML | 12.30
391 | IVOMEC INJ MULTILABEL 50ML | 46.35
392 | PETISCOS WHISKAS ANTI BOLA DE PELO 40G | 9.00
393 | RACAO TUTANO LIGHT 1KG | 27.58
394 | PETISCOS WHISKAS SALMAO 40G | 9.00
395 | PEDIGREE SACHE AD RMG FGO 100G | 2.50
396 | PEDIGREE SACHE AD RP FGO 100G | 2.50
397 | CESAR SACHE ADULTO CARNE ASSADA 85G | 2.50
398 | CESAR SACHE ADULTO CORDEIRO ASSADO 85G | 3.00
399 | CESAR SACHE ADULTO FILE MIGNON 85G | 3.00
400 | CESAR SACHE ADULTO FRANGO MARINADO 85G | 3.00
401 | SYNULOX 50MG | 75.00
402 | PROVEX VERMIFOGO CAES C/4COMPRIMIDOS | 10.00
403 | ANTITOXICO HEPATOX 20ML | 10.00
404 | SHAMPOO E COND CLOREXIDINA 500ML | 30.00
405 | MERCEPTON ORAL 20ML | 25.00
406 | REVOLUTION 6% CAES/GATO 0,25ML ATE 2,5KG | 80.00
407 | REVOLUTION 6% GATO 0,75ML 2,6 A 7,5KG UN | 85.00
408 | REVOLUTION 12% CAES 2,6 A 5KG 0,25ML | 87.00
409 | REVOLUTION 12% CAES 5,1 A 10KG 0,50ML UN | 85.00
410 | REVOLUTION 12% CAES 20,1 A 40KG 2ML | 125.00
411 | RACAO CHANIN GATO PEIXE 10,1KG | 110.00
412 | RACAO CHANIN GATOS PEIXE 25KG | 220.00
413 | CHANIN GATOS CAST CAR/FRANGO 25KG | 230.00
414 | CHANIN GATOS CAST CAR/FRA 10,1KG | 115.00
415 | NUXCELL NEO - 2G | 46.00
416 | NUXCELL PUFA - 2G | 47.00
417 | NUXCELL PLUS - 2G | 69.99
418 | CIST CONTROL 30ML | 103.00
419 | TUTANO CAES AD CARNE 20KG | 220.00
420 | RACAO TUTANO CAES FILHOTES 20KG | 225.50
421 | RACAO TUTANO CAES RP 10KG | 105.00
422 | HOT DOG SEM CORANTES 15KG | 140.00
423 | QUATREE LIFE CAES AD RP 20KG | 270.00
424 | DUPRAT TIURAN SABONETE SAR E FUNGI 80G | 25.00
425 | TIURAN SOLUCAO TOPICA 100ML | 32.00
426 | PEDIGREE SACHE AD RP CAR 100G | 2.50
427 | PEDIGRRE SACHE ADULTO RP CARNE 100G | 2.20
428 | WHISKAS SACHE AD FRANGO 85G | 2.50
429 | DOG CHOW CAES AD RMG 20KG | 220.00
430 | COLIRIO VETERINARIO SIMOES 10ML | 18.00
431 | BEGACAO CAES AD FRANGO/ARROZ 15KG | 95.00
432 | BEGACAO CAES FRANGO/ARROZ 25KG | 140.00
433 | BESSER ADULTO RP 20KG | 135.00
434 | BOM GUY AD RP 1KG | 17.00
435 | BOM GUY AD RP 20KG | 185.00
436 | BOM GUY AD 25KG | 225.00
437 | BOM GUY CARNE COEX 25KG | 230.00
438 | RACAO CAT EXCELLENCE AD FRANGO 10,1KG | 169.99
439 | RACAO CATLLY GATO AD MIX 10,1KG | 90.00
440 | CROC ADULTO RACAS MED E GRD 25KG | 200.00
441 | CROC CAT 25KG | 275.00
442 | RACAO DOG CHOW CAES AD TDS TAMANHO 15KG | 177.00
443 | RACAO DOG CHOW AD SAUDE VIS TDS TAM 15KG | 170.00
444 | DOG EXCELLENCE AD RP FRANGO 10,1KG | 145.00
445 | DOG EXCELLENCE AD RMG FRANGO 15KG | 180.00
446 | DOG EXCELLENCE AD RG CARNE 15KG | 180.00
447 | DOG EXCELLENCE AD RG CORDEIRO 15KG | 180.00
448 | DOG EXCELLENCE AD RM CORDEIRO 15KG | 180.00
449 | DOG EXCELLENCE AD RM FRANGO 15KG | 180.00
450 | GOLDEN CAES FL RP CARNE 10,1KG | 160.00
451 | GOLDEN CAES AD RP CARNE 15KG | 170.00
452 | GOLDEN CAES AD RP FRANG/ARROZ 15KG | 180.00
453 | GOLDEN CAES AD RP SALMA/ARROZ 15KG | 190.00
454 | GOLDEN GATOS CAST SALMAO 10,1KG | 190.00
455 | KANINA FILHOTES 15KG | 160.00
